unique_key,complaint_text,agency,agency_name,borough,created_date,status,open_data_channel_type
67595589,problem: illegal parking. details: double parked blocking vehicle. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:24:41.000,Closed,PHONE
67600492,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:24:38.000,Closed,ONLINE
67595823,problem: noise - residential. details: loud talking. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:24:37.000,Closed,PHONE
67594082,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:24:12.000,Closed,ONLINE
67599066,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:23:42.000,Closed,MOBILE
67592171,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:23:21.000,Closed,MOBILE
67604493,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:23:11.000,Closed,ONLINE
67594258,problem: heat/hot water. details: apartment only. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:23:04.000,Closed,MOBILE
67594480,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:22:47.000,Closed,ONLINE
67592478,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:22:40.000,Closed,PHONE
67602487,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:22:17.000,Closed,PHONE
67594125,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:21:20.000,Closed,ONLINE
67595591,problem: noise - residential. details: loud television. location type: residential building/house. borough: queens,NYPD,New York City Police Department,queens,2026-01-24T03:20:44.000,Closed,MOBILE
67597470,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:20:40.000,Closed,ONLINE
67601241,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:20:11.000,Closed,ONLINE
67597469,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:20:07.000,Closed,ONLINE
67597819,problem: heat/hot water. details: entire building. location type: residential building. borough: manhattan,HPD,Department of Housing Preservation and Development,manhattan,2026-01-24T03:19:51.000,Closed,PHONE
67599528,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:19:45.000,Closed,ONLINE
67592836,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:19:43.000,Closed,ONLINE
67598765,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:19:41.000,Closed,ONLINE
67592619,problem: heat/hot water. details: apartment only. location type: residential building. borough: staten island,HPD,Department of Housing Preservation and Development,staten island,2026-01-24T03:19:40.000,Closed,PHONE
67603765,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:19:07.000,Closed,MOBILE
